epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,5782.48,0.6881,0.65299,1.1415,0.90103,0.91361,0.95202,0.82355,0.57343,0.43152,1.12076,0.000665057,0.000665057,0.000665057
56,5886.93,0.70265,0.66769,1.15282,0.91276,0.89885,0.95179,0.82106,0.57765,0.43915,1.12099,0.000650909,0.000650909,0.000650909
57,5991.66,0.68166,0.65657,1.14019,0.90659,0.93054,0.95241,0.82694,0.56398,0.43038,1.1096,0.000636762,0.000636762,0.000636762
58,6096.37,0.68719,0.64016,1.14535,0.89298,0.91876,0.95486,0.82422,0.58226,0.44582,1.13255,0.000622615,0.000622615,0.000622615
59,6201.2,0.68464,0.64301,1.14422,0.9034,0.94007,0.95501,0.83292,0.55922,0.43094,1.10689,0.000608468,0.000608468,0.000608468
60,6305.64,0.67984,0.63505,1.13407,0.90208,0.92653,0.9536,0.83509,0.56014,0.43122,1.10746,0.000594321,0.000594321,0.000594321
61,6410.52,0.68065,0.64338,1.14316,0.85723,0.89735,0.93958,0.81658,0.55945,0.48502,1.11214,0.000580174,0.000580174,0.000580174
62,6515.28,0.66798,0.62308,1.13558,0.90778,0.94288,0.95969,0.83772,0.5636,0.4154,1.1131,0.000566027,0.000566027,0.000566027
63,6620.09,0.68382,0.63216,1.14274,0.9135,0.94386,0.95967,0.83821,0.5618,0.39974,1.11884,0.00055188,0.00055188,0.00055188
64,6724.56,0.66652,0.61932,1.13125,0.90647,0.92003,0.95823,0.83817,0.55171,0.41445,1.09752,0.000537733,0.000537733,0.000537733
65,6829.28,0.67598,0.63572,1.13433,0.91178,0.93028,0.95918,0.83859,0.54554,0.41418,1.08988,0.000523586,0.000523586,0.000523586
66,6934.18,0.66764,0.60404,1.13351,0.92924,0.93568,0.95854,0.83722,0.55374,0.40794,1.09935,0.000509438,0.000509438,0.000509438
67,7039,0.66005,0.60492,1.12557,0.9246,0.92649,0.96053,0.83075,0.57061,0.4038,1.11563,0.000495291,0.000495291,0.000495291
68,7143.4,0.65948,0.59189,1.12314,0.91745,0.94407,0.96154,0.84428,0.55185,0.39423,1.08879,0.000481144,0.000481144,0.000481144
69,7247.98,0.64459,0.60718,1.11268,0.91969,0.93292,0.96177,0.83913,0.5538,0.39457,1.0993,0.000466997,0.000466997,0.000466997
70,7352.65,0.64984,0.58738,1.11843,0.90445,0.95929,0.96725,0.84998,0.54719,0.38858,1.09134,0.00045285,0.00045285,0.00045285
71,7457.42,0.64971,0.5944,1.11809,0.89059,0.95147,0.96373,0.84211,0.55447,0.39716,1.09742,0.000438703,0.000438703,0.000438703
72,7561.77,0.64948,0.57922,1.11912,0.91754,0.94511,0.96316,0.84249,0.5462,0.38945,1.0877,0.000424556,0.000424556,0.000424556
73,7666.5,0.64504,0.56894,1.11441,0.91947,0.94178,0.96441,0.84476,0.5455,0.37533,1.08998,0.000410409,0.000410409,0.000410409
74,7771.21,0.63176,0.56907,1.10864,0.89757,0.9384,0.95938,0.84057,0.54535,0.40577,1.09146,0.000396262,0.000396262,0.000396262
75,7875.95,0.63696,0.55989,1.11182,0.91908,0.95041,0.96692,0.85039,0.54394,0.3807,1.09292,0.000382115,0.000382115,0.000382115
